Название;Автор;Рейтинг;Старая цена;Новая цена;Издательство;Год издания;ISBN;Обложка;Описание
Рассказы о животных;Эрнест Сетон-Томпсон;3.86;Отсутствует;Отсутствует;РОСМЭН;2020;978-5-353-08253-8;https://cdn.img-gorod.ru/310x500/nomenclature/25/733/2573377.jpg;"мериканский писатель-анималист Эрнест Сетон-Томпсон (1860-1946) один из первых сделал героями своих произведений зверей и птиц. Пожалуй, именно он положил начало.новому, реалистичному направлению в литературе о животных, ведь никто прежде так.правдиво и достоверно их поведение и повадки не изображал. Его первая книга коротких.историй из жизни диких животных стала настолько популярной, что задала.тон всему дальнейшему творчеству писателя, который не только хорошо.знал своих героев, но любил их, а главное, понимал."
Кошка Далай-Ламы. Чудесное спасение и удивительная судьба уличной кошки из трущоб Нью-Дели;Дэвид Мичи;4.6;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-93692-2;https://cdn.img-gorod.ru/310x500/nomenclature/25/823/2582356.jpg;"Чудесное спасение и удивительная судьба уличной кошки из трущоб Нью-Дели.Книга ""Кошка Далай-ламы"" - это легкая и веселая книга, в которой описывается чудесная история спасения котенка из трущоб Нью-Дели. Дерзкая и умная кошка откроет вам путь в священную Дхарамсалу, проведет по заснеженным Гималаям, а также познакомит с бытом самого Далай-Ламы. В книге содержатся духовные уроки о том, как обрести счастье и истинный смысл жизни в нашем суетном материалистическом мире. Увлекательные мысли необыкновенной кошки, которые содержатся на страницах этой замечательной книги, поднимут вам настроение и согреют ваше сердце."
Хозяин собаки : роман;Брюс Кэмерон;4.9;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-97788-8;https://cdn.img-gorod.ru/310x500/nomenclature/25/973/2597319.jpg;"Брюс Кэмерон замахнулся на поистине сложную вещь - показать процесс одомашнивания волка. И ему, надо признать, это удалось: книга ""Хозяин собаки"" способна не только поразить воображение, но и тронуть душу. Эпоха палеолита - страшное и жестокое время, и Мор, изгнанный из сурового племени охотников, знает об этом не понаслышке. Он с трудом находит убежище, чтобы согреться и выжить, и обнаруживает в нем раненую волчицу с волчатами. Так у человека, обреченного на смерть, появляется друг - собака. Теперь Мору предстоит обучить ее премудростям охоты. А тем временем старое племя идет по его следу, а значит, он и его собака в опасности."
Лили и осьминог : роман;Стивен Роули;4.75;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-95972-3;https://cdn.img-gorod.ru/310x500/nomenclature/25/978/2597862.jpg;"У Теда большое сердце, и места в нем хватит всем: родным, близким, коллегам. Но радость ему приносят не только люди, но и Лили, юркая маленькая такса. Их тандему уже двенадцать лет, и беззаботная жизнь могла бы и дальше продолжаться, но однажды собака заболевает. Недуг может отнять у Теда друга. Отнять навсегда! Тед не собирается сдаваться и отправляется с Лили в путешествие, в котором ему суждено будет встретиться с собственными страхами и наконец решить: отпустить верного, но страдающего друга или продолжить бороться.."
Моя жизнь в его лапах. Удивительная история Теда – самой заботливой собаки в мире;Венди Хиллинг;5;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-88646-3;https://cdn.img-gorod.ru/310x500/nomenclature/26/056/2605600.jpg;Может ли собака самостоятельно вызвать «Скорую помощь»? Сделать покупки в магазине, разгрузить стиральную машину? Стать не только домашним любимцем и хорошим другом, но и самой заботливой в мире сиделкой?   Всё это с большой радостью и любовью делает золотистый ретривер Тед, ставший незаменимым помощником для своей хозяйки. Венди Хиллинг родилась с очень редким генетическим заболеванием - «синдромом бабочки». Её кожа настолько хрупкая, что даже обычное прикосновение причиняет боль и оставляет раны. Тед стал для Венди настоящей опорой, заботливой сиделкой, неоднократно спасал ей жизнь.   История Теда и Венди способна тронуть и вдохновить не только любителей собак, но и всех тех, кому нравятся добрые и мудрые книги. Те, что читаются на одном дыхании, но надолго остаются в в сердце и в мыслях.
Бесценный дар собаки. История лабрадора Дейзи, собаки-детектора, которая спасла мне жизнь;Клэр Гест;5;Отсутствует;Отсутствует;Эксмо;2017;978-5-699-97822-9;https://cdn.img-gorod.ru/310x500/nomenclature/26/103/2610317.jpg;"Эта волнующая и вдохновляющая книга рассказывает о том, что собаки могут быть не только милыми домашними питомцами. Из любви к своим хозяевам они способны научиться совершенно невероятным вещам. Например, спасать человеческие жизни. Клэр Гест убеждена, что собаки могут дать людям очень много. Жизнь самой Клэр была спасена одним из ее питомцев. Огненно-рыжий лабрадор Дейзи предупредила ее о труднодиагностируемой форме рака, определив болезнь по запаху, когда та была еще на ранней стадии. Опираясь на свой научный опыт и безграничную любовь к животным, Клэр смогла основать благотворительную организацию ""Медицинские собаки-детекторы"". Ей удалось доказать, что Дейзи и подобные ей собаки могут качественно расширить современные возможности диагностики рака. Изменить не только мир медицины, но и судьбы многих людей.."
Синий пёс : роман;Луи де Берньер;Отсутствует;Отсутствует;Отсутствует;Махаон;2017;978-5-389-12954-2;https://cdn.img-gorod.ru/310x500/nomenclature/26/200/2620022.jpg;В 2011 году по роману Луи де Берньера «Рыжий пёс» был снят одноимённый фильм о знаменитом австралийском псе-путешественнике. Фильм, основанный на реальных событиях, имел оглушительный успех, и продюсеры решили снять предысторию Рыжего, ведь никто не знает, откуда в районе Пилбары (Австралия) появился этот пёс, кто был его хозяином, как и где жил он раньше. Когда фильм, в отличие от предыдущего являвшийся абсолютной выдумкой, был завершён, продюсеры обратились к автору романа «Рыжий пёс» с предложением написать по сценарию историю Рыжего до его странствий по Австралии. В итоге родилась эта книга – «Синий пёс» – своеобразная «биография» Рыжего, которому суждено было стать легендой северо-запада Австралии.
Жизнь и цель собаки;Брюс Кэмерон;4.62;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-092472-1;https://cdn.img-gorod.ru/310x500/nomenclature/26/386/2638654.jpg;"Брюс Кэмерон написал увлекательную, веселую и трогательную книгу о жизни собаки, а еще – о человеческих взаимоотношениях и неразрывных связях между хозяином и его четвероногим другом, о том, что любовь никогда не умирает, что наши истинные друзья всегда рядом и у всех нас есть свое предназначение..Главный герой этой книги – собака, которая, всякий раз рождаясь заново, обретает счастье в служении человеку: самоотверженной Сеньоре, одинокому мальчику Итану, потерявшей веру Майе или трогательной Венди. Брюс Кэмерон убеждает нас в том, что собаки способны на такие чувства, которые доступны далеко не каждому человеку..Чтобы доказать это, иногда собаке приходится побывать в разных шкурах, храбро встречать все невзгоды и, главное, никогда не терять из виду своего хозяина. Даже если их разделяют несколько жизней."
Путешествие хорошего пса;Брюс Кэмерон;4.33;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-093193-4;https://cdn.img-gorod.ru/310x500/nomenclature/26/464/2646406.jpg;"Брюс Кэмерон написал удивительную историю о надежде, любви и бесконечной преданности собаки.Малыш – очаровательный и добрый пес. Он прожил насыщенную событиями жизнь и выполнил свое предназначение – помог Итану, своему хозяину, стать счастливым… И теперь, когда хозяина больше нет, Малыш очень скучает. Но Клэрити, внучка Итана, не дает ему унывать. Когда она вырастет, ей тоже понадобится друг, который будет защищать ее от неприятностей. Почему бы Малышу не стать таким другом? Судьба дарит храброму псу новый шанс и новую жизнь, ведь его предназначение – служить людям, помогать им справляться с невзгодами."
Собака в подарок: роман;Сьюзан Петик;4;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-093286-3;https://cdn.img-gorod.ru/310x500/nomenclature/26/491/2649192.jpg;Девятилетний Киран вместе с семьей переезжает в крошечный городок Болингброк. У мальчика нет друзей, и одноклассники вечно его дразнят. Единственная отдушина для него - прогулки с дедушкой. Однажды, гуляя с ним по лесу, он находит собаку - забавного пса с огромным носом и смешными усами. Наконец в жизни ребенка появляется друг, с которым можно играть и прятаться от взрослых.  Чего еще можно желать? Если только... Может, мама разрешит забрать собаку домой? Но у пса наверняка есть хозяин, а это значит, путь к счастью будет чуть длиннее.
Кошка Далай-Ламы и секреты истинного счастья;Дэвид Мичи;4.07;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-088619-7;https://cdn.img-gorod.ru/310x500/nomenclature/26/506/2650664.jpg;Продолжение чудесной истории о судьбе уличной кошки из трущоб Нью-Дели, которая оказалась в самом известном буддийском храме Тибета и стала кошкой самого Далай-Ламы.Отправляясь в просветительское турне по Америке, Его Святейшество поставил перед своей обожаемой кошкой сложную задачу: узнать главную причину счастья. Эта книга о невероятных путешествиях кошки Далай-Ламы. Подслушанные разговоры известных психологов, лам высокого ранга и знаменитых писателей, собиравшихся в гималайском книжном кафе, помогли кошке понять общность взглядов на счастье науки и буддизма. Так почему же мы мурлычем от счастья? Далай-Лама шепнул этот секрет по возвращении  – только своей любимой кошке и тем, с кем у нее сложилась кармическая связь… то есть вам, дорогой читатель!
Рыжий бродяга Тоби. Кот, подаривший утешение в самые трудные дни;Селия Хаддон;3;Отсутствует;Отсутствует;Эксмо;2018;978-5-699-85120-1;https://cdn.img-gorod.ru/310x500/nomenclature/26/510/2651043.jpg;На страницах этой книги вы найдете пронзительную историю о том, как обычный уличный кот помогает главной героине преодолеть страдания и боль, обрести покой и новый смысл жизни.
Близкие контакты пушистого вида : роман;Том Кокс;5;Отсутствует;Отсутствует;АСТ;2018;978-5-17-982682-8;https://cdn.img-gorod.ru/310x500/nomenclature/26/550/2655063.jpg;Озорным Ральфу и Шипли, прелестной Роско и их бессменному вождю Медведю предстоят большие перемены — переезд из города в сельский дом в графстве Девон. Как они отнесутся к новым соседям: полевкам, кроликам и черному пуделю Билли? Как скажется резкая смена обстановки на состоянии духа уже немолодого Медведя? И наконец, примет ли хвостатая банда в свои ряды нового разбойника — бело-рыжего бродягу Джорджа?..
Путь домой;Брюс Кэмерон;4.59;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-090277-4;https://cdn.img-gorod.ru/310x500/nomenclature/26/625/2662575.jpg;Однажды в конуре под домом Лукас Рэй находит щенка питбуля. Белла, так он называет собаку, становится для него близким другом. Милая и забавная, она по-настоящему украшает его жизнь, но неожиданно все меняется. Противники бойцовских пород решают: Белле не место в Денвере. Чтобы спасти животное от усыпления, Лукас отдает собаку друзьям. Но разве можно забыть того, кто спас тебе жизнь? Белла не забывает. Разлука с хозяином становится для нее страшным ударом. И тогда храбрая собака решается на отчаянный шаг – побег. Путь домой будет долгим, но Белла поймет самое главное – ради любимого человека можно вынести все.
Лесси: повесть;Эрик Найт;4.73;Отсутствует;Отсутствует;Азбука;2020;978-5-389-15171-0;https://cdn.img-gorod.ru/310x500/nomenclature/26/725/2672570.jpg;Лесси — одна из самых известных собак в мировой литературе. Книга, рассказывающая о ее приключениях, пользуется  неизменной популярностью. Многие поколения юных читателей во всем мире учились доброте и любви, сопереживая этой храброй и преданной собаке. Джо Керраклаф, сын английского шахтера, считал себя счастливчиком. Еще бы, ведь ему завидуют все собаководы Йоркшира: такой породистой колли не было ни у кого. Каждый день Лесси приходила к школе встречать Джо, и вдруг однажды не пришла. Дома Джо ожидало ужасное известие: родители продали собаку, чтобы выбраться из долгов. Но для верной Лесси существовал только один хозяин — Джо. Высокий забор, железная цепь и огромное, в несколько тысяч миль, расстояние до родного дома не остановили Лесси: впереди у нее был долгий и опасный путь домой.
Друг;Сигрид Нуньес;4.25;Отсутствует;Отсутствует;Эксмо;2018;978-5-04-098615-6;https://cdn.img-gorod.ru/310x500/nomenclature/27/012/2701283.jpg;Когда преподавательница литературного мастерства теряет лучшего друга и возлюбленного, ее жизнь катастрофически меняется. Ей кажется, что мир вокруг утрачивает свои краски, а окружающие не понимают элементарного: она никогда не будет прежней. Случайный подарок судьбы – огромный дог по имени Аполлон — становится для нее словно еще одним наказанием. Но чем больше времени она проводит с собакой, тем сильнее осознает – не только она может помочь ему, но и он ей.
Подарок от Боба. Книги о самых отважных домашних питомцах (комплект из 5 книг);Отсутствует;5;Отсутствует;Отсутствует;АСТ;2019;978-5-17-118787-3;https://cdn.img-gorod.ru/310x500/nomenclature/27/710/2771039_1.jpg;Комплект:1. Рейчел Уэллс «АЛФИ И ДЖОРДЖ»Хозяева лучшей подруги Алфи уезжают и увозят ее с собой. Алфи в отчаянии. Но вскоре времени на грусть не остается – его заботам поручают малютку Джорджа, крошечного трехцветного котенка. «Теперь ты – моя мама?» – спрашивает он Алфи, и тому ничего не остается, как принять самое живое участие в судьбе своего подопечного.2. Рейчел Уэллс «АЛФИ НА КАНИКУЛАХ»В жизни Алфи и его котенка Джорджа новый сюрприз – тетушка их хозяйки Клэр оставила ей в наследство свой коттедж в английской деревушке. Людей и котов ждут песок, море и новые знакомые – ухоженная персидская кошка Шанель и вольный сельский кот Гилберт. Растопить лед в их сердцах непросто, но Алфи и Джордж и не собираются сдаваться.3. Шейла Нортон «ЧАРЛИ. КОТЕНОК, КОТОРЫЙ СПАС ЖИЗНЬ»Одиннадцатилетняя Кэролайн с трудом находит язык с мачехой и ревнует к маленькой сестре. Ей кажется, что никому нет до нее никакого дела. Кэролайн решает сбежать из дома, но это очень опасно – ведь она только что поправилась после тяжелой болезни. Тогда на ее поиски отправляется котенок Чарли, который любит свою хозяйку больше всего на свете.4. Кейт Мур «ФЕЛИКС С ЖЕЛЕЗНОЙ ДОРОГИ»Кот Феликс не просто сотрудник английской железной дороги. Он меняет к лучшему жизнь тех, кто встретит его на своем пути. Феликсу многое под силу: успокоить разбушевавшегося пассажира, помочь ребенку-аутисту, согреть маленького беглеца, коротающего ночь на вокзале. Любовь, с которой все относятся к Феликсу, абсолютно заслуженна, как и мировая известность пушистого сотрудника Хаддерсфилдской станции.5. Джон Долан «ДЖОН И ДЖОРДЖ. ПЕС, КОТОРЫЙ ИЗМЕНИЛ МОЮ ЖИЗНЬ»Еще совсем недавно Джон Долан был бездомным и никому не нужным. Большую часть жизни он провел на улице, терпел холод и нужду. Но однажды все изменилось благодаря собаке, которая попала к нему совершенно случайно. Теперь Джон – знаменитый художник. Он ворвался в мир искусства подобно яркому метеору, и в этом ему помог Джордж, стаффордширский терьер, который спас его и сделал другим человеком.
Дымка. Повесть;Вилл Джеймс;5;Отсутствует;Отсутствует;RUGRAM;2020;978-5-517-02101-4;https://cdn.img-gorod.ru/310x500/nomenclature/27/951/2795136.jpg;Повесть канадского писателя и художника Вилла Джеймса (1892-1942), получившего широкую известность благодаря «ковбойским» рассказам, которые он писал для детей и взрослых. Действие повести о коне Дымке разворачивается в начале XX века на Диком Западе.
Алфи, или Счастливого Рождества!;Рейчел Уэллс;4.54;Отсутствует;Отсутствует;АСТ;2020;978-5-17-127308-8;https://cdn.img-gorod.ru/310x500/nomenclature/28/159/2815993_1.jpg;Кот Алфи и усыновленный им котенок Джордж присматривают за жителями Эдгар-Роуд, но на этот раз им предстоит необычная работа — воспитывать непоседливого щенка.Маленький мопс Пиклз уверен, что может стать кошкой — если очень постарается! Он хочет во всем походить на своих новых друзей, и Алфи приходится прикладывать немало усилий, чтобы избежать последствий его безудержного энтузиазма — ведь скоро Рождество, и ничто не должно омрачить приближающийся праздник.
"Слушая животных: история ветеринара, который продал ""Астон Мартин"", чтобы спасать жизни (от звезды сериала THE SUPERVET)";Ноэль Фитцпатрик;4.26;Отсутствует;Отсутствует;БОМБОРА;2020;978-5-04-105555-4;https://cdn.img-gorod.ru/310x500/nomenclature/28/181/2818120.jpg;"БЕСТСЕЛЛЕР № 1 SUNDAY TIMES. Более 1400 хвалебных отзывов на Amazon. 200 000 экземпляров распродано только в Великобритании.  У каждого из нас в детстве была мечта. Мы смотрели в небо, представляя, как взлетаем на ракете в космос, воображали себя на подмостках театров, видели сны про удивительные находки в глубинах египетских пирамид.  У маленького ирландского мальчика Ноэля была своя мечта — лечить животных, как самый настоящий супергерой. Он посвятил этой мечте всю свою жизнь, сделав ее своей целью. Отказываясь от личной жизни, тяжело трудясь и тратя все свободное время на исследования, Ноэль хотел стать похожим на героя своих фантазий — Ветмена-суперветеринара. Сейчас профессор Ноэль Фицпатрик — ведущий мировой ветеринарный нейрохирург-ортопед, звезда сериалов The Supervet на Channel 4  и The Bionic Vet на BBC One, обладатель сертификата книги рекордов Гиннесса за новаторскую операцию по протезированию задних лап коту, основатель двух крупнейших специализированных ветеринарных клиник. Его история — удивительный и вдохновляющий рассказ о человеке, который стремился к своей цели, несмотря ни на что, и добился исполнения своей мечты, ни разу не свернув с намеченного пути.   «Работая ветеринаром-хирургом, я стараюсь сохранить свет надежды в сердцах своих молодых коллег; в детях, для которых пытаюсь быть примером; в циниках и уставших людях, готовых сдаться. Я хочу научить всех слушать животных и  друг друга». — Ноэль Фицпатрик"
25 граммов счастья. История маленького ежика, который изменил жизнь человека;Отсутствует;4.28;Отсутствует;Отсутствует;БОМБОРА;2020;978-5-04-111854-9;https://cdn.img-gorod.ru/310x500/nomenclature/28/185/2818537.jpg;Эта жизнеутверждающая история о человеке и маленьком ежике докажет вам, что ни одна любовь не может быть слишком большой и ни одно существо не может быть слишком маленьким. Итальянский ветеринар Массимо Ваккетта рассказывает о необычайной встрече, изменившей его жизнь. После болезненного развода он чувствовал себя разбитым и подавленным, пока в клинике не появился осиротевший ежонок, который весил всего 25 граммов. Борьба за его жизнь помогла ветеринару выйти из депрессии и обрести новый смысл в своей профессии. Спасая ежика Нинну, Массимо раскрывает свою яркую индивидуальность, и вскоре в его руках один за другим оказываются другие колючие малыши: люди начинают искать необычного ветеринара, чтобы исцелить и позаботиться о самых уязвимых и слабых существах, которых порой никто не замечает.Ни одна любовь не может быть слишком большой, и ни одно существо не может быть слишком маленьким для этой любви! Представьте, что вы случайно находите маленького розового ежонка с короной из белых и мягких шипов на спине. Он весит всего 25 граммов, и в нем едва теплится жизнь: от голода, холода или, может быть, просто от одиночества. Сможете ли вы пройти мимо?.. Массимо Ваккетта, итальянский ветеринарный врач, который всю жизнь лечил крупный рогатый скот, недавно развелся и чувствовал себя разбитым и подавленным — ровно до того дня, когда кто-то принес в клинику осиротевшего маленького ежика. Крошечный ежик, весом всего в 25 граммов, был так же уязвим и одинок, как Массимо. И эта беспомощность дикого существа разбила вдребезги броню на сердце человека. Он привязался к ежонку так, как никогда не был связан ни с каким другим животным. Борьба за жизнь колючего крохи помогла ветеринару выйти из депрессии и обрести новый смысл в своей профессии. Спасая ежика Нинну, Массимо избавляется от апатии и пустоты в душе, и вскоре в его руках один за другим оказываются другие ежи: люди со всей округи начинают искать необычного ветеринара, чтобы исцелить и позаботиться о самых уязвимых и слабых существах, которых порой никто не замечает. Однажды автора спросили: «Но почему вы это делаете? Зачем вы спасаете ежей?» И он ответил: «Они делают меня счастливым». Для тех, кто хочет прочесть добрую и трогательную книгу, которая заставит улыбнуться, — это настоящая находка. Истории, в которых Массимо рассказывает о своей маленькой ежихе Нинне, возвращают в детство, где все мы были открытыми и умели без оглядки сопереживать самым маленьким и беззащитным существам. Это история о человеке, который едва не потерял себя и ему удалось найти свет там, где он меньше всего этого ожидал, — в заботе о маленьких ежах. Это сама суть жизни, помогать тем, у кого нет голоса, кто слабее нас, — история о чистой безусловной любви, которая делает добро, не ожидая ничего взамен. Массимо Ваккетта — итальянский ветеринар, основатель центра спасения ежей «La Ninna», президент ассоциации «La Casa dei ricci», которая призвана защитить ежей и природу.
Приключения пушистых друзей (комплект из 3 книг);Том Кокс;5;Отсутствует;Отсутствует;АСТ;2020;978-5-17-132909-9;https://cdn.img-gorod.ru/310x500/nomenclature/28/190/2819001.jpg;«Под лапой: Исповедь кошатника»Обычная молодая семья, переехавшая из шумного Лондона в тихую деревушку в Норфолке?Как бы не так: Том и Ди — весьма необычная семья. Ведь компанию им составляют не одна и не две, а целых семь кошек — семь шумных, избалованных и немыслимо обаятельных усатых существ.Вот уж действительно — круглые сутки пух и перья летят, в основном, с «трофейных» птичек, конечно. И трудно представить, на какие еще проделки способна «великолепная семерка» пушистых разбойников, возглавляемая хитрым Медведем и обаятельным Джанетом.«Хороший, плохой, пушистый»Встречайте пушистую команду Тома Кокса! Медведя — кота с огромными, словно блюдца, глазами, умом и хитростью не уступающего иному человеку. Джанета — непревзойденного специалиста по поджиганию собственного хвоста. И двух братьев: Ральфа, обожающего устраивать кошачьи концерты исключительно в пять утра, и Шипли, избравшего необычную профессию похитителя супов из кухни.И, конечно же, самого Тома, пишущего остроумные и забавные истории о приключениях своих четвероногих друзей.«Близкие контакты пушистого вида»Озорным Ральфу и Шипли, прелестной Роско и их бессменному вождю Медведю предстоят большие перемены — переезд из города в сельский дом в графстве Девон.Как они отнесутся к новым соседям: полевкам, кроликам и черному пуделю Билли?Как скажется резкая смена обстановки на состоянии духа уже не молодого Медведя?И, наконец, примет ли хвостатая банда в свои ряды нового разбойника — бело-рыжего бродягу Джорджа?..
Пес по имени Герой;Дженнифер Ли Шотц;3.67;Отсутствует;Отсутствует;АСТ;2021;978-5-17-133076-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/384/2838403_1.jpg;"От автора бестселлеров The New York Times Дженнифер Ли Шотц!Герой - поисково-спасательный пёс на пенсии. И он совершенно не готов к появлению в своей жизни бездомного щенка. Но когда Герой и двенадцатилетний Бен обнаруживают, что маленький Скаут ранен и напуган, то незамедлительно отправляются по неожиданному и опасному пути.""Пёс по имени Герой"" - история о настоящих приключениях, полных опасностей, верности и дружбы между мальчиком и его собакой."
Путешествия натуралиста. Приключения с дикими животными;Дэвид Аттенборо;4.07;Отсутствует;Отсутствует;КоЛибри;2021;978-5-389-14057-8;https://cdn.img-gorod.ru/310x500/nomenclature/28/385/2838529.jpg;Живая легенда и ведущий документального сериала о дикой природе «Планета Земля» на Би-би-си сэр Дэвид Аттенборо рассказывает историю своей карьеры телеведущего и натуралиста, на заре которой ему предоставилась уникальная возможность — путешествовать по миру в поисках редких животных для коллекции Лондонского зоопарка и снимать экспедицию для нового шоу Би-би-си «Зооквест» (Zoo Quest). В этой книге собраны истории его первых путешествий. Проживая бок о бок с местными племенами во время походов в поисках гигантских муравьедов в Гайане, комодских драконов в Индонезии и броненосцев в Парагвае, он вместе с остальной командой боролся с речными рыбами-людоедами, агрессивными дикобразами и дикими свиньями, а также с коварством местности и непредсказуемостью погоды, чтобы запечатлеть невероятную красоту и биоразнообразие отдаленных регионов. Эта книга, написанная с неповторимым остроумием и обаянием, — не просто история замечательного приключения, но и история человека, который делится с нами любовью к природе и выступает в ее защиту. «Чтобы программа удалась, у экспедиции должна быть четкая цель — найти такое редкое существо, какого нет ни в одном зоопарке мира, такое загадочное, диковинное, поразительное создание, за поисками которого зрители, замерев у экранов, следили бы из передачи в передачу». (Дэвид Аттенборо)
Хвосты удачи. Истории из жизни ветеринарного врача;Ольга Шильцова;4.43;Отсутствует;Отсутствует;АСТ;2021;978-5-17-137916-2;https://cdn.img-gorod.ru/310x500/nomenclature/28/561/2856124_1.jpg;Костя потерял всё: деньги, девушку и уверенность в себе. Но остались те, кто нуждается в его помощи — многочисленные четвероногие пациенты. Молодой ветеринар решает с головой окунуться в работу — и не напрасно, ведь среди коллег он найдёт не только преданных друзей, но и свою любовь.В повести представлено более 25 реальных случаев из практики ветеринарного врача. Действие происходит параллельно событиям, описанным в первой книге цикла «Такса судьбы».
